country_code,country_name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
TKM,Turkmenistan,,,,2.389,,,2.438,2.49,,,,4.179,,,,,3.171,3.222,3.17,3.53489995,3.5697999,3.588700056,3.672800064,3.613699913,3.59980011,3.550199986,3.527400017,3.440000057,3.30430007,,,,,2.838799953,,,,,,,,,,,,,,,,,,,
TLS,Timor-Leste,,,0.073,,,,,,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,,,,0.563,,,,,,,,0.2912,0.343,0.499,,,0.44,,,,,,0.508300006,,0.4921,,,,,,,0.5995,0.602199972,0.361699998,,,,,,,,,,0.255800009,,,,,,,,,
TTO,Trinidad and Tobago,,,,1.175,,,1.175,,,,,,,,,,0.79,,0.79,0.787999988,0.657700002,,0.731599987,0.720000029,,,,,,1.043300033,,,0.672999978,0.726400018,,,,,0.453599989,,,,,0.444900006,,,,,0.262276798,,,,
TUN,Tunisia,,,,1.222,,,,,,1.34,,,,,,,0.7,,0.663,0.567300022,0.650600016,0.645399988,0.536899984,0.528299987,,,,0.460900009,,,,,0.274599999,0.270700008,,,,,0.169499993,,,,,0.168500006,,,,,0.125054002,,,,
TUR,Turkey,,,1.711,1.538,,1.451,,1.56,1.3,1.3,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3
TUV,Tuvalu,,,,1.091,1.091,0.636,,,,,0.91,0.5454546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,Tanzania,,,,0.008,,,,0.008,,,,0.02,,,,,,,0.041,0.041900002,,,,,,,0.038800001,,0.035399999,0.038899999,,,,,,,,,0.044300001,,,,,0.043699998,,,,,0.04532722,,,,0.039539363
UGA,Uganda,,,,0.117,,,,,0.117,0.08,,0.047,,,,,,,,,0.039999999,,,,0.044599999,,,,,0.044100001,,0.0458,0.046700001,,,,,,0.107500002,,,,,0.108499996,,,,,0.09021996,,,,
UKR,Ukraine,,3.531,3.517,3.246,,,,3.1254,,,2.951,,2.974,2.978,2.986,2.99,2.97,2.992,4.407,4.314199925,4.341800213,4.297100067,4.345200062,4.289500237,4.274600029,4.200300217,4.143000126,4.060200214,4.001999855,3.909199953,3.820100069,3.740700006,3.630899906,3.514600039,,,,,,,,,,,,,,,,,,,
UMC,Upper middle income,,,,1.834533757,,,,,,,,,,1.614894729,,,,,,,,,,1.436176126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,,,,3.736,,3.736,4.181,,,,,3.65,,,3.745,,,3.703,3.56,,,3.226000071,,3.680000067,,,,,1.94749999,1.925699949,,,1.996600032,,,,,,1.111299992,,,,,1.093299985,,,,,1.136279225,,,,
USA,United States,,,2.452,2.422,2.422,,,,,2.672,,2.3,2.2,2.56,2.2,2.1,2.1,2.0,2.0,,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,,,,,1.2,,,,,1.2,,,,
UZB,Uzbekistan,,2.381,,2.539,,,2.617,,2.65,,2.745,,2.885,2.946,2.975,3.085,3.115,3.171,3.239,3.295000076,3.337800026,3.321000099,3.424999952,3.387500048,3.38560009,3.363500118,3.319200039,3.254600048,2.694400072,,,,,2.669100046,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,,,,,,,,,,,,,0.525,0.7542,,,0.871,,0.46,,,,0.134599999,0.460000008,,,,,,0.266299993,,,,,,,,,,,,,,0.181799993,,,,,,,,,
VEN,"Venezuela, RB",,,,,,,,,,,,,1.939,,,,2.029,,1.94,,,,,1.564399958,1.6954,1.599699974,1.401100039,1.399199963,1.196200013,1.435799956,,0.833299994,0.995700002,0.829599977,,,,0.903999984,0.904200017,0.904200017,,,,0.883400023,,,,,0.815152824,,,,
VIR,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,1.645,,,,,1.649999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,Vietnam,,,1.159,1.224,,1.224,,,,,,0.56,0.534,,0.515,0.48,0.569,,,,,0.43720001,0.406599999,0.403899998,0.390899986,,,1.055999994,,,,,0.246999994,0.240899995,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,,,,0.116,,0.116,,,,0.14,,,,,,,0.11,,,,,,0.099,,0.125400007,,,0.203799993,,,,,0.188600004,0.191200003,,,,,,,,,,0.301200002,,,,,,,,,
PSE,West Bank and Gaza,,,,,,,,,,,,,0.837,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLD,World,,,,1.521895639,,,,,,,,,,1.389119472,,,,,,,,,,1.218304252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,,,,0.479,,0.452,,,0.27,,0.28,,,,0.702,0.33,,0.344,,,,0.36469999,,,0.207399994,,,0.279500008,,,,,0.404300004,0.361299992,,,,,,,,,,0.350100011,,,,,,,,,
YEM,"Yemen, Rep.",,,,0.197,,,,,,0.33,,,0.219,,,0.2,,0.23,0.247,,,,,0.007,,,,,0.171299994,,,,0.144700006,,,,,,,,,,,0.0287,,,,,0.031661816,,,,
ZAF,South Africa,776,,0.758,,,,,,,0.77,,,0.692,,,,,0.593,,,,0.624300003,,,,,0.612600029,,,,,,,,,0.551199973,,,0.538600028,,,,,,,,,,0.487948775,,,,
